scene,name,description,setup,room,actorId,posX,posY,posZ,rotX,rotY,rotZ,actorParams,frontRoom,backRoom,
0,ydan,Inside the Deku Tree,0,-1,"002E",-455,400,455,0,57345,0,"007F",0,1,
0,ydan,Inside the Deku Tree,0,-1,"002E",-1535,-760,1070,0,49152,0,"0083",5,6,
0,ydan,Inside the Deku Tree,0,-1,"002E",-75,-880,580,0,0,0,"003F",3,4,
0,ydan,Inside the Deku Tree,0,-1,"002E",-2420,-760,-453,0,8191,0,"003F",8,7,
0,ydan,Inside the Deku Tree,0,-1,"002E",-896,-1880,-964,0,4187,0,"007F",11,9,
0,ydan,Inside the Deku Tree,0,-1,"002E",-936,400,936,0,24576,0,"007F",2,1,
0,ydan,Inside the Deku Tree,0,-1,"002E",-560,800,0,0,49152,0,"00BC",0,10,
0,ydan,Inside the Deku Tree,0,-1,"002E",-1855,-760,770,0,0,0,"0083",7,6,
0,ydan,Inside the Deku Tree,0,-1,"002E",-335,-880,960,0,16384,0,"0084",5,4,
0,ydan,Inside the Deku Tree,0,-1,"0023",0,-320,0,0,49152,0,"00BF",0,3,
0,ydan,Inside the Deku Tree,0,-1,"0023",-635,-1100,0,0,49152,0,"00BF",3,9,
0,ydan,Inside the Deku Tree,0,-1,"0023",-1055,-820,0,0,16384,0,"013F",7,3,
0,ydan,Inside the Deku Tree,0,0,"0095",283,478,357,0,41871,0,"0000",,,
0,ydan,Inside the Deku Tree,0,0,"0095",416,520,179,0,45875,0,"0000",,,
0,ydan,Inside the Deku Tree,0,0,"0095",321,678,316,0,42235,0,"0000",,,
0,ydan,Inside the Deku Tree,0,0,"0037",-67,1069,255,0,62805,0,"0001",,,
0,ydan,Inside the Deku Tree,0,0,"0037",256,1071,-62,0,19115,0,"0001",,,
0,ydan,Inside the Deku Tree,0,0,"0037",-179,1071,-190,0,40960,0,"0001",,,
0,ydan,Inside the Deku Tree,0,0,"0125",391,0,-156,0,56799,0,"FF01",,,
0,ydan,Inside the Deku Tree,0,0,"0125",355,0,-233,0,56799,0,"FF01",,,
0,ydan,Inside the Deku Tree,0,0,"0125",307,0,-289,0,56799,0,"FF01",,,
0,ydan,Inside the Deku Tree,0,0,"0125",80,293,-414,0,0,0,"FF01",,,
0,ydan,Inside the Deku Tree,0,0,"0125",142,307,-399,0,0,0,"FF01",,,
0,ydan,Inside the Deku Tree,0,0,"0055",-218,0,63,0,53158,0,"0000",,,
0,ydan,Inside the Deku Tree,0,0,"0055",-41,0,-230,0,32769,0,"0000",,,
0,ydan,Inside the Deku Tree,0,0,"0055",194,0,105,0,12378,0,"0000",,,
0,ydan,Inside the Deku Tree,0,0,"000A",333,360,253,0,8374,0,"0823",,,
0,ydan,Inside the Deku Tree,0,0,"000F",0,0,0,0,16384,0,"4FC5",,,
0,ydan,Inside the Deku Tree,0,0,"011B",-417,400,427,0,0,0,"0A03",,,
