scene,name,description,setup,room,object,
0,ydan,Inside the Deku Tree,0,0,"0036",
0,ydan,Inside the Deku Tree,0,0,"001E",
0,ydan,Inside the Deku Tree,0,0,"0024",
0,ydan,Inside the Deku Tree,0,0,"0039",
0,ydan,Inside the Deku Tree,0,0,"0164",
0,ydan,Inside the Deku Tree,0,0,"000E",
0,ydan,Inside the Deku Tree,0,0,"00A4",
0,ydan,Inside the Deku Tree,0,0,"012B",
0,ydan,Inside the Deku Tree,0,0,"00B7",
0,ydan,Inside the Deku Tree,0,0,"00BB",
0,ydan,Inside the Deku Tree,0,0,"015C",
0,ydan,Inside the Deku Tree,0,1,"0036",
0,ydan,Inside the Deku Tree,0,1,"001E",
0,ydan,Inside the Deku Tree,0,1,"0024",
0,ydan,Inside the Deku Tree,0,1,"0039",
0,ydan,Inside the Deku Tree,0,1,"0164",
0,ydan,Inside the Deku Tree,0,1,"000E",
0,ydan,Inside the Deku Tree,0,1,"00A4",
0,ydan,Inside the Deku Tree,0,1,"012B",
0,ydan,Inside the Deku Tree,0,1,"00B7",
0,ydan,Inside the Deku Tree,0,1,"00BB",
0,ydan,Inside the Deku Tree,0,1,"015C",
0,ydan,Inside the Deku Tree,0,2,"0036",
0,ydan,Inside the Deku Tree,0,2,"001E",
0,ydan,Inside the Deku Tree,0,2,"0024",
0,ydan,Inside the Deku Tree,0,2,"0039",
0,ydan,Inside the Deku Tree,0,2,"0164",
0,ydan,Inside the Deku Tree,0,2,"000E",
0,ydan,Inside the Deku Tree,0,2,"00A4",
0,ydan,Inside the Deku Tree,0,2,"012B",
0,ydan,Inside the Deku Tree,0,2,"00B7",
0,ydan,Inside the Deku Tree,0,2,"011D",
0,ydan,Inside the Deku Tree,0,2,"015C",
0,ydan,Inside the Deku Tree,0,3,"0036",
0,ydan,Inside the Deku Tree,0,3,"001E",
0,ydan,Inside the Deku Tree,0,3,"0024",
0,ydan,Inside the Deku Tree,0,3,"0039",
0,ydan,Inside the Deku Tree,0,3,"0164",
0,ydan,Inside the Deku Tree,0,3,"000E",
0,ydan,Inside the Deku Tree,0,3,"00A4",
0,ydan,Inside the Deku Tree,0,3,"012B",
0,ydan,Inside the Deku Tree,0,3,"00B7",
