scene,setup,room,object,
0,0,0,"0036",
0,0,0,"001E",
0,0,0,"0024",
0,0,0,"0039",
0,0,0,"000E",
0,0,0,"00A4",
0,0,0,"012B",
0,0,0,"00B7",
0,0,0,"015C",
0,0,0,"000D",
0,0,0,"0168",
0,0,0,"0164",
0,0,0,"0170",
0,0,0,"012F",
0,0,1,"0036",
0,0,1,"001E",
0,0,1,"0024",
0,0,1,"0039",
0,0,1,"004A",
0,0,1,"000E",
0,0,1,"00A4",
0,0,1,"012B",
0,0,1,"00B7",
0,0,1,"015C",
0,0,2,"0036",
0,0,2,"001E",
0,0,2,"0024",
0,0,2,"0039",
0,0,2,"004A",
0,0,2,"000E",
0,0,2,"00A4",
0,0,2,"012B",
0,0,2,"00B7",
0,0,2,"015C",
0,0,2,"011D",
0,0,2,"0163",
0,0,2,"0190",
0,0,2,"00A8",
0,0,3,"0036",
0,0,3,"001E",
0,0,3,"0024",
0,0,3,"0039",
0,0,3,"000E",
0,0,3,"00A4",
0,0,3,"012B",
0,0,3,"00B7",
0,0,3,"015C",
0,0,3,"000D",
0,0,3,"0168",
0,0,3,"0164",
0,0,3,"0170",
0,0,3,"012F",
0,0,4,"0036",
0,0,4,"001E",
0,0,4,"0024",
0,0,4,"0039",
0,0,4,"004A",
0,0,4,"000E",
0,0,4,"00A4",
0,0,4,"012B",
0,0,4,"00B7",
0,0,4,"0170",
0,0,5,"0036",
0,0,5,"001E",
0,0,5,"0024",
0,0,5,"0039",
0,0,5,"004A",
0,0,5,"000E",
0,0,5,"00A4",
0,0,5,"012B",
0,0,5,"00B7",
0,0,5,"000D",
0,0,5,"0170",
0,0,5,"0190",
0,0,5,"00A8",
0,0,5,"00A2",
0,0,6,"0036",
0,0,6,"001E",
0,0,6,"0024",
0,0,6,"0039",
0,0,6,"004A",
0,0,6,"000E",
0,0,6,"00A4",
0,0,6,"012B",
0,0,6,"00B7",
0,0,6,"000D",
0,0,6,"0170",
0,0,7,"0036",
0,0,7,"001E",
0,0,7,"0024",
0,0,7,"0039",
0,0,7,"00A4",
0,0,7,"012B",
0,0,7,"00B7",
0,0,7,"015C",
0,0,7,"000D",
0,0,7,"0168",
0,0,7,"00A8",
0,0,7,"0190",
0,0,7,"00A2",
0,0,8,"0036",
0,0,8,"001E",
0,0,8,"0024",
0,0,8,"0039",
0,0,8,"0164",
0,0,8,"000E",
0,0,8,"00A4",
0,0,8,"012B",
0,0,8,"00B7",
0,0,8,"015C",
0,0,9,"0036",
0,0,9,"001E",
0,0,9,"0024",
0,0,9,"0039",
0,0,9,"000E",
0,0,9,"00A4",
0,0,9,"012B",
0,0,9,"00B7",
0,0,9,"015C",
0,0,9,"000D",
0,0,9,"0168",
0,0,9,"0164",
0,0,9,"0170",
0,0,10,"0036",
0,0,10,"001E",
0,0,10,"0024",
0,0,10,"0039",
0,0,10,"0164",
0,0,10,"000E",
0,0,10,"00A4",
0,0,10,"012B",
0,0,10,"00B7",
0,0,10,"0170",
0,0,11,"0036",
0,0,11,"001E",
0,0,11,"0024",
0,0,11,"0039",
0,0,11,"0164",
0,0,11,"000E",
0,0,11,"00A4",
0,0,11,"012B",
0,0,11,"00B7",
1,0,0,"002B",
1,0,0,"018A",
1,0,0,"0031",
1,0,0,"000E",
1,0,0,"0038",
1,0,0,"0168",
1,0,0,"011B",
1,0,0,"0163",
1,0,0,"0024",
1,0,0,"0188",
1,0,0,"00A4",
1,0,0,"0036",
1,0,0,"001F",
1,0,0,"000D",
1,0,0,"0170",
1,0,1,"002B",
1,0,1,"018A",
1,0,1,"0031",
1,0,1,"000E",
1,0,1,"0038",
1,0,1,"0168",
1,0,1,"011B",
1,0,1,"0163",
1,0,1,"0024",
1,0,1,"0188",
1,0,1,"00A4",
1,0,1,"0036",
1,0,1,"001F",
1,0,1,"000D",
1,0,1,"0170",
1,0,2,"002B",
1,0,2,"018A",
1,0,2,"0031",
1,0,2,"00A4",
1,0,2,"011B",
1,0,2,"0170",
1,0,2,"0024",
1,0,2,"008B",
1,0,2,"0168",
1,0,2,"0039",
1,0,3,"002B",
1,0,3,"001B",
1,0,3,"0163",
1,0,3,"00A4",
1,0,3,"0024",
1,0,3,"015C",
1,0,4,"002B",
1,0,4,"0031",
1,0,4,"0163",
1,0,4,"00A2",
1,0,4,"0009",
1,0,4,"0170",
1,0,5,"002B",
1,0,5,"0031",
1,0,5,"000C",
1,0,5,"00A4",
1,0,5,"000D",
1,0,5,"000E",
1,0,5,"012B",
1,0,6,"002B",
1,0,6,"0024",
1,0,6,"0177",
1,0,6,"001E",
1,0,6,"0170",
1,0,6,"000E",
1,0,7,"002B",
1,0,7,"001F",
1,0,7,"001B",
1,0,7,"0038",
1,0,7,"015C",
1,0,7,"0024",
1,0,7,"0031",
1,0,7,"00A2",
1,0,7,"0154",
1,0,7,"0179",
1,0,7,"012B",
1,0,8,"002B",
1,0,8,"001F",
1,0,8,"001B",
1,0,8,"0038",
1,0,8,"015C",
1,0,8,"0024",
1,0,8,"0031",
1,0,8,"00A2",
1,0,8,"0154",
1,0,8,"0179",
1,0,8,"012B",
1,0,9,"002B",
1,0,9,"018A",
1,0,9,"0031",
1,0,9,"000E",
1,0,9,"0038",
1,0,9,"0168",
1,0,9,"011B",
1,0,9,"0163",
1,0,9,"0024",
1,0,9,"0188",
1,0,9,"00A4",
1,0,9,"0036",
1,0,9,"001F",
1,0,9,"000D",
1,0,9,"0170",
1,0,10,"002B",
1,0,10,"018A",
1,0,10,"0031",
1,0,10,"000E",
1,0,10,"0038",
1,0,10,"0168",
1,0,10,"011B",
1,0,10,"0163",
1,0,10,"0024",
1,0,10,"0188",
1,0,10,"00A4",
1,0,10,"0036",
1,0,10,"001F",
1,0,10,"000D",
1,0,10,"0170",
1,0,11,"002B",
1,0,11,"0168",
1,0,12,"002B",
1,0,12,"018A",
1,0,12,"0031",
